,Topic,Count,Name,Representation,Representative_Docs
0,-1,3465,-1_and_to_the_my,"['and', 'to', 'the', 'my', 'of', 'that', 'in', 'me', 'have', 'feel']","['im most afraid of i already feel slightly out of place at cru because while most of them will say they are my friend very few of them bothered to reach out and ask how things were going in australia', 'i decided that since things were finally starting to go well but i was still feeling a little uncertain i d give myself a little more time to let the training come together', 'i really hate this feeling when you really give so much damn about someone but really all that person show you is just simply like they cant be bothered with you']"
1,0,347,0_he_him_his_hes,"['he', 'him', 'his', 'hes', 'faithful', 'me', 'is', 'was', 'that', 'could']","['i feel disgusted at him and at myself for having been with him and continuing to be something he wants in his life', 'i like him for who he is or i just like the feeling to be liked', 'i know hes upset that ryan did this to me he liked him when he met him and he even thought his feelings for me were sincere']"
2,1,283,1_her_she_shes_was,"['her', 'she', 'shes', 'was', 'girl', 'that', 'said', 'for', 'doesnt', 'but']","['i get to tell her that i love her to make her feel valued and appreciated to tell her how beautiful and intelligent she is i do', 'i was to her in fact so i m taking that as she feels regretful for what she has done', 'i want her to be able to trust me with everything i want her to feel like she is the most valuable thing on the face of the earth i want her to feel like there is nothing that i could ever even consider thinking about because of how amazing she is']"
3,2,162,2_divine_god_pray_church,"['divine', 'god', 'pray', 'church', 'lord', 'jesus', 'faith', 'in', 'has', 'me']","['i feel divine in more ways than one', 'i feel divine and strong', 'i prayed to trust god with my desire to feel a divine sense of home']"
4,3,160,3_students_school_class_exams,"['students', 'school', 'class', 'exams', 'teachers', 'student', 'year', 'classes', 'semester', 'grade']","['i feel so pained to see students on a school trip', 'i feel scared because i dont know the students and the teachers', 'i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day']"
5,4,142,4_delicious_eating_food_eat,"['delicious', 'eating', 'food', 'eat', 'sweet', 'recipe', 'breakfast', 'virtuous', 'meal', 'sugar']","['i never got that i m too full feeling except for the couple times i ate sweet potatoes and trust me i was eating a lot', 'i don t get it you ate because you wanted the good sensation that eating provided the full feeling the delicious soporific effect that luscious hazy dreamy state that ice cream gave you and now you re going to put yourself through torture', 'ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example']"
6,5,134,5_blog_blogging_blogs_bloggers,"['blog', 'blogging', 'blogs', 'bloggers', 'writing', 'post', 'posts', 'this', 'about', 'readers']","['i feel like i dont have anything worthwhile to blog about so im continuing to blog about things that i used to when i wasnt married', 'i cant blog if im feeling inspired and once i do blog i lose inspiration', 'i feel so excited to have made time to blog again']"
7,6,124,6_baby_mom_child_mother,"['baby', 'mom', 'child', 'mother', 'her', 'pregnant', 'babies', 'son', 'pregnancy', 'daycare']","['i did at one point put my son in daycare but my mom constantly made me feel like a terrible parent because of it', 'i feel so blessed just to be her mom', 'i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them']"
8,7,115,7_book_books_read_reading,"['book', 'books', 'read', 'reading', 'story', 'chapters', 'the', 'it', 'novel', 'authors']","['i guess since this book kind of bring a negative feeling to my self that im longing to find my simon i guess i wont be reading a romance book again in the future', 'i do remember the feel of the book and being incredibly impressed with it and knowing that ill have to read it again', 'i know i can do it and in fact that i will but i feel terrified that the stories won t be as good as they could be and that any readers that i can actually convince to buy the book will read it and hate it and never want to read anything by me again']"
9,8,95,8_frightened_scared_afraid_terrified,"['frightened', 'scared', 'afraid', 'terrified', 'fearful', 'fear', 'safe', 'fearless', 'grounded', 'less']","['i was told to do it continues and the fact i feel fear frightened correction terrified of what is next', 'i feel frightened by it all', 'i feel less and less the feeling of fear and being afraid and scared']"
10,9,91,9_wearing_wear_glamorous_dress,"['wearing', 'wear', 'glamorous', 'dress', 'shoes', 'cute', 'outfit', 'gorgeous', 'clothing', 'casual']","['i love that i get to dress up and feel glamorous once a year', 'i really feel cute when i wear them', 'i feel quite glamorous in this dress']"
11,10,90,10_song_music_listen_songs,"['song', 'music', 'listen', 'songs', 'listening', 'radio', 'lyrics', 'guitar', 'band', 'bands']","['i am overly passionate but i love music for how it makes me feel i connect with the songs and the artists and i am amazed and truly in awe of those that can write a song that touches me', 'i feel really contented just listening to the song', 'i need to listen to a song where i can be angry and feel accepted at the same time']"
12,11,90,11_romantic_love_loved_loving,"['romantic', 'love', 'loved', 'loving', 'your', 'beloved', 'lips', 'heart', 'want', 'someone']","['i honestly don t think it s possible for me to feel romantic love at this point', 'i feel romantic too', 'i know i have my family and friends and god but some point in your life in my life i want to feel romantic love again']"
13,12,87,12_href_http_www_rel,"['href', 'http', 'www', 'rel', 'bookmark', 'title', 'twitter', 'target', 'false', 'en']","['i a href http feeling groggy', 'i feel so very loved by a href http www', 'im not feeling well a href http']"
14,13,83,13_optimistic_hopeful_future_team,"['optimistic', 'hopeful', 'future', 'team', 'eagles', 'win', 'strong', 'forward', 'draft', 'philippines']","['im feeling slightly optimistic', 'im feeling a lot more optimistic about my future', 'i feel really optimistic about']"
15,14,76,14_ugly_vain_look_cute,"['ugly', 'vain', 'look', 'cute', 'pretty', 'beautiful', 'gorgeous', 'mirror', 'beauty', 'unattractive']","['i feel ugly and hated', 'i cant help feeling ugly', 'i know that s wrong but i feel ugly']"
16,15,73,15_angry_pissed_mad_annoyed,"['angry', 'pissed', 'mad', 'annoyed', 'anger', 'angered', 'off', 'irate', 'sad', 'lock']","['im feeling so pissed off now', 'i do feel angry', 'i feel pissed off and angry']"
17,16,68,16_creative_artistic_art_artists,"['creative', 'artistic', 'art', 'artists', 'painting', 'paintings', 'tick', 'paint', 'dot', 'clay']","['i was just feeling a little bit creative', 'i have been feeling the need to be creative', 'i feel more creative']"
18,17,66,17_weird_strange_confused_unnatural,"['weird', 'strange', 'confused', 'unnatural', 'sing', 'vibe', 'curious', 'yeah', 'feels', 'its']","['im feeling really weird', 'i feel so weird about it', 'i feel weird']"
19,18,66,18_rain_sun_water_sunshine,"['rain', 'sun', 'water', 'sunshine', 'beach', 'weather', 'sand', 'spring', 'the', 'stars']","['i head upstream to explore bringing my notebook to write up the events of the day and i soon find running water with some small pools big enough to strip down and throw some water on the ole corpse which feels lovely', 'i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water', 'i got to walk in the rain and feel triumphant over nature in my rain boots and pink rain coat']"
20,19,65,19_characters_film_character_plot,"['characters', 'film', 'character', 'plot', 'series', 'films', 'movie', 'actors', 'the', 'emotions']","['i don t know i ve not tried a new character yet the universe feels much more lively than it did when i began so i m hoping that s true for new characters as well', 'i feel like they bring the characters to life completely and i m always kind of surprised what the actors do do together', 'i will review the film after this blog entry but for now as i have david sitting here in my garden feeling slightly smug after just discovering his film had been shortlisted for best film out of entries']"
21,20,61,20_race_running_run_pace,"['race', 'running', 'run', 'pace', 'miles', 'ran', 'marathon', 'runs', 'crappy', 'whether']","['i feel like i can t truly get excited for this race because i have no idea whether or not i ll even be able to run it', 'i loved the feeling i got during an amazing slalom run whether it was in training or in a race', 'i loved the feeling i got during an amazing slalom run whether it was in training or in a race']"
22,21,60,21_crappy_shitty_horrible_awful,"['crappy', 'shitty', 'horrible', 'awful', 'better', 'flipped', 'terrible', 'bad', 'pretty', 'game']","['i have for myself even when i m feeling crappy', 'i feel crappy i eat crappy', 'i have been feeling pretty crappy']"
23,22,60,22_cold_hot_winter_ice,"['cold', 'hot', 'winter', 'ice', 'weather', 'air', 'layers', 'night', 'breeze', 'temperature']","['i feel cold few days', 'i can feel the cold of winter', 'i feel the cold more than him']"
24,23,58,23_distracted_productive_focused_work,"['distracted', 'productive', 'focused', 'work', 'need', 'get', 'scratch', 'plan', 'sentence', 'blank']","['i feel that im much more productive i get less distracted and i feel so much more accomplished', 'i feel like im so distracted most days', 'i feel the need to be distracted']"
25,24,56,24_overwhelmed_list_start_boundaries,"['overwhelmed', 'list', 'start', 'boundaries', 'tasks', 'save', 'bit', 'talked', 'practice', 'little']","['im feeling so overwhelmed', 'i am feel overwhelmed', 'im feeling overwhelmed']"
